ID;Название;Серьёзность;Статус;Шаги;Ожидаемый результат;Факт 1 (ДО);Факт 2 (ПОСЛЕ)
104;Регистрация - имя из пробелов;Средний;Исправлен;1. Выполнить POST-запрос на /register/ с name = 3 пробела;Статус 422 Validation Error;1) в ответе 201 created, 2) пользователь создан в бд;422 Name contains invalid characters
105;Регистрация - имя больше 50 символов;Высокий;НЕ ИСПРАВЛЕН;Выполнить POST-запрос на /register/ с name = 51 символ;Статус 422 Validation Error;1) в ответе 201 created, 2) пользователь создан в бд;200 OK (валидация корректна только на латиницу)
107;Регистрация - пароль меньше 8 символов;Высокий;Исправлен;Выполнить POST-запрос на /register/ с password = 7 символов;Статус 422 Validation Error;201 создан, в бд имеется;422 ensure this value has at least 8 characters
144;Регистрация - пароль 6 пробелов;Средний;Исправлен;1. Выполнить POST-запрос на /register/ с password = 6 пробелов;Статус 422 Validation Error;200, jnh;422 Name contains invalid characters
138;Регистрация - c email в другом регистре;Самый высокий;Исправлен;"1. Выполнить POST-запрос на /register/ с email = ""IVAN@example.com""";"Ответ Статус 400, ""Email already registered""";200 created;422 Email already registered
137;Авторизация - email в другом регистре;Средний;НЕ ИСПРАВЛЕН;"Выполнить POST-запрос на /login/ с email = ""Ivan.petrov@example.com""";Статус 200 OK;"ошибка 400 ""Invalid email or password""";"ошибка 400 ""Invalid email or password"""
117;Получение списка - супер-админ;Средний;Исправлен;Выполнить GET-запрос на /users/ с Bearer токеном супер-админа;Статус 200 OK, в ответе список всех пользователей с полями id, name, email, is_superadmin;в ответе лишнее поле возвращается hashed_password;hashed_password отсутствует
118;Получение списка - обычный пользователь;Средний;Исправлен;Выполнить GET-запрос на /users/ с Bearer токеном обычного пользователя;200, данные только о себе;403 Insufficient rights;200, данные только о себе
116;Повышение - несуществующий пользователь;Средний;Исправлен;1. Выполнить PUT-запрос от супер админа на /users/promote/{fake_uuid};Статус 404 Not Found;500 Internal Server Error;404 Not Found
139;Повышение - супер админ сам себя;Средний;Исправлен;Выполнить PUT-запрос на /users/promote/3fa5e5af-40bb-4793-9fd5-63cada0be151 с Bearer токеном супер админ;ошибка (403 например);"200 ""detail"": ""User successfully updated""";"422 ""This user is already a super admin"""
119;Редактирование - успешное;Средний;Исправлен;Выполнить PUT-запрос на /users/edit/{user_id} с новыми name и/или email, Bearer токен супер-админа;"Статус 200 OK, в ответе сообщение ""User successfully updated"" и поля id, name, email обновленного пользователя";в ответе лишнее поле возвращается hashed_password;hashed_password отсутствует
135;Редактирование самого себя - успешное;Средний;Исправлен;Выполнить PUT-запрос на /users/edit/{user_id} с новыми name и/или email для самого себя, Bearer токен супер-админа;"Статус 200 OK, в ответе сообщение ""User successfully updated"" и поля id, name, email обновленного пользователя";в ответе лишнее поле возвращается hashed_password;hashed_password отсутствует
140;Редактирование юзера - имя больше 50 символов;Высокий;НЕ ИСПРАВЛЕН;Выполнить PUT-запрос на /users/edit/{user_id}/ с name = 51 символ;Статус 422 Validation Error;"200 ""detail"": ""User successfully updated""";"200 ""detail"": ""User successfully updated"""
141;Редактирование юзера - email принадлежит другому;Высокий;НЕ ИСПРАВЛЕН;"Выполнить PUT-запрос на /users/edit/{user_id}/ с email = ""IVAN@example.com""";Статус 400, email уже есть;"200 ""detail"": ""User successfully updated""";500 Internal Server Error
142;Редактирование юзера - email не валидный;Высокий;Исправлен;"Выполнить PUT-запрос на /users/edit/{user_id}/ с email = ""IVANexample.com""";"Статус 422, ""value is not a valid email address""";200 отредактирован;422 value is not a valid email address
145;Редактирование юзера - имя из пробелов;Высокий;Исправлен;"Выполнить PUT-запрос на /users/edit/{user_id}/ с name = ""   """;Статус 422 Validation Error;успех. В бд создан;422 Name contains invalid characters
146;Редактирование юзера - имя пустое;Высокий;Исправлен;"Выполнить PUT-запрос на /users/edit/{user_id}/ с name = """"";Статус 422 Validation Error;успех. В бд создан;422 ensure this value has at least 3 characters
147;Редактирование юзера - не указан user_id;Высокий;НЕ ИСПРАВЛЕН;Выполнить PUT-запрос на /users/edit/ без указания user_id;Ошибка 400 об отсутствии user_id;500 ошибка;500 ошибка
136;Удаление самого себя супер админом - ошибка;Средний;Исправлен;Выполнить DELETE-запрос от супер-админа самого себя на /users/delete/{user_id} с Bearer токеном супер-админа;ошибка;200, пользователь удалён;403 Super admin cannot delete own account
